archivo,modelo,call@1,exe@1,error
div.py,DeepSeek V4 Pro,✗,✗,
fused_bmm_rmsnorm_gelu_dropout_sub.py,DeepSeek V4 Pro,✗,✗,
sigmoid_conv2d.py,DeepSeek V4 Pro,✗,✗,
tanh.py,DeepSeek V4 Pro,✗,✗,
relu_sqrt.py,DeepSeek V4 Pro,✓,✗,test_results.test_case_4: dtype torch.int64 != torch.float32
sqrt.py,DeepSeek V4 Pro,✓,✓,
solve_multiple_lu.py,DeepSeek V4 Pro,✓,✓,
sub.py,DeepSeek V4 Pro,✓,✓,
sigmoid_argmax.py,DeepSeek V4 Pro,✗,✗,
svd.py,DeepSeek V4 Pro,✗,✗,
rsqrt.py,DeepSeek V4 Pro,✓,✗,test_results.test_case_3: tensor values differ
i0.py,DeepSeek V4 Pro,✓,✗,test_results.test_case_1: tensor values differ; test_results.test_case_2: tensor values differ; test_results.test_case_3: tensor values differ; test_results.test_case_4: tensor values differ
fused_mv_logsoftmax_dropout.py,DeepSeek V4 Pro,✓,✗,test_results.test_case_1: tensor values differ; test_results.test_case_2: tensor values differ; test_results.test_case_3: tensor values differ; test_results.test_case_4: tensor values differ
add.py,DeepSeek V4 Pro,✗,✗,
dropout_relu_batch_norm_conv2d.py,DeepSeek V4 Pro,✗,✗,
fused_index_select_eq.py,DeepSeek V4 Pro,✗,✗,
argmax.py,DeepSeek V4 Pro,✗,✗,
fused_lu_solve.py,DeepSeek V4 Pro,✓,✗,test_results.test_case_1: tensor values differ; test_results.test_case_2: tensor values differ; test_results.test_case_3: tensor values differ; test_results.test_case_4: type Tensor != str
normalize_pairwise_distance.py,DeepSeek V4 Pro,✗,✗,
max.py,DeepSeek V4 Pro,✓,✗,test_results.test_case_1[0]: tensor values differ; test_results.test_case_1[1]: tensor values differ; test_results.test_case_2[0]: tensor values differ; test_results.test_case_2[1]: tensor values differ; test_results.test_case_3[0]: tensor values differ; test_results.test_case_3[1]: tensor values differ; test_results.test_case_4[0]: tensor values differ; test_results.test_case_4[1]: tensor values differ
relu.py,DeepSeek V4 Pro,✓,✓,
log_softmax_linear.py,DeepSeek V4 Pro,✗,✗,
least_squares_qr.py,DeepSeek V4 Pro,✗,✗,
determinant_via_qr.py,DeepSeek V4 Pro,✓,✓,
sqrt_tanh.py,DeepSeek V4 Pro,✗,✗,
fused_tile_exp.py,DeepSeek V4 Pro,✗,✗,
silu_batch_norm.py,DeepSeek V4 Pro,✗,✗,
index_fill_.py,DeepSeek V4 Pro,✗,✗,
mean.py,DeepSeek V4 Pro,✓,✓,
fused_cross_entropy_softmax_layernorm.py,DeepSeek V4 Pro,✗,✗,
